,title,id,metal,mass,diameter,era,year,inscriptions,jpg,txt
464,Antoninus Pius,RIC_0767_var_BMCRE_1674,Brass,28.15,33.0,AD,145.0,"['AVG', 'COS', 'SC', 'TR']",RIC_0767_var_BMCRE_1674.jpg,RIC_0767_var_BMCRE_1674.txt
479,Antoninus Pius,RIC_0785,Brass,25.34,31.0,,,"['AVG', 'IMP', 'COS', 'SC']",RIC_0785.jpg,RIC_0785.txt
487,Antoninus Pius,RIC_0795a,Brass,12.45,26.0,AD,157.0,"['AVG', 'COS']",RIC_0795a.jpg,RIC_0795a.txt
488,Antoninus Pius,RIC_0795b,Brass,9.57,28.0,AD,157.0,"['AVG', 'COS']",RIC_0795b.jpg,RIC_0795b.txt
490,Antoninus Pius,RIC_0800,Brass,10.4,25.0,AD,161.0,"['AVG', 'COS', 'PP', 'TR']",RIC_0800.jpg,RIC_0800.txt
519,Antoninus Pius,RIC_0852_BMCRE_1814_note,Copper,9.54,25.8,AD,147.0,"['AVG', 'COS', 'TR']",RIC_0852_BMCRE_1814_note.jpg,RIC_0852_BMCRE_1814_note.txt
541,Antoninus Pius,RIC_0889,Brass,22.89,32.0,AD,150.0,"['AVG', 'IMP', 'CAES', 'COS', 'TR']",RIC_0889.jpg,RIC_0889.txt
555,Antoninus Pius,RIC_0916b,Brass,24.32,32.0,AD,153.0,"['AVG', 'COS', 'TR']",RIC_0916b.jpg,RIC_0916b.txt
556,Antoninus Pius,RIC_0916b2,Brass,22.89,31.5,AD,153.0,"['AVG', 'COS', 'TR']",RIC_0916b2.jpg,RIC_0916b2.txt
557,Antoninus Pius,RIC_0917a,Brass,27.62,32.0,AD,153.0,"['AVG', 'COS', 'TR']",RIC_0917a.jpg,RIC_0917a.txt
558,Antoninus Pius,RIC_0917b,Brass,27.62,32.0,AD,153.0,"['AVG', 'COS', 'TR']",RIC_0917b.jpg,RIC_0917b.txt
